Date,Stock,Broker,Buy Value,Sell Value,Buy Avg,Sell Avg,Open,High,Low,Close,Volume
2026-05-25,PNLF,XL,1700000000,0,241,0,238,246,236,240,577720
2026-05-25,PNLF,LG,678100000,0,242,0,238,246,236,240,577720
2026-05-25,PNLF,BK,645600000,0,241,0,238,246,236,240,577720
2026-05-25,PNLF,YP,509500000,0,241,0,238,246,236,240,577720
2026-05-25,PNLF,DH,385800000,0,240,0,238,246,236,240,577720
2026-05-25,PNLF,ZP,377200000,0,242,0,238,246,236,240,577720
2026-05-25,PNLF,AK,288800000,0,242,0,238,246,236,240,577720
2026-05-25,PNLF,XC,189500000,0,242,0,238,246,236,240,577720
2026-05-25,PNLF,DR,162300000,0,241,0,238,246,236,240,577720
2026-05-25,PNLF,SQ,150500000,0,239,0,238,246,236,240,577720
2026-05-25,PNLF,TP,0,2700000000,0,241,238,246,236,240,577720
2026-05-25,PNLF,YU,0,633200000,0,243,238,246,236,240,577720
2026-05-25,PNLF,BQ,0,544000000,0,242,238,246,236,240,577720
2026-05-25,PNLF,CP,0,488500000,0,241,238,246,236,240,577720
2026-05-25,PNLF,PO,0,482000000,0,241,238,246,236,240,577720
2026-05-25,PNLF,YB,0,223700000,0,241,238,246,236,240,577720
2026-05-25,PNLF,CC,0,149600000,0,242,238,246,236,240,577720
2026-05-25,PNLF,PD,0,147500000,0,241,238,246,236,240,577720
2026-05-25,PNLF,KK,0,94800000,0,240,238,246,236,240,577720
2026-05-25,PNLF,SH,0,71800000,0,239,238,246,236,240,577720
