Date,Stock,Broker,Buy Value,Sell Value,Buy Avg,Sell Avg,Open,High,Low,Close,Volume
2026-05-26,TOOL,CP,70600000,0,73,0,76,76,71,72,161560
2026-05-26,TOOL,EP,47200000,0,73,0,76,76,71,72,161560
2026-05-26,TOOL,XA,39600000,0,73,0,76,76,71,72,161560
2026-05-26,TOOL,BQ,36100000,0,75,0,76,76,71,72,161560
2026-05-26,TOOL,XC,33900000,0,73,0,76,76,71,72,161560
2026-05-26,TOOL,KK,18000000,0,74,0,76,76,71,72,161560
2026-05-26,TOOL,AK,12100000,0,72,0,76,76,71,72,161560
2026-05-26,TOOL,AO,7400000,0,74,0,76,76,71,72,161560
2026-05-26,TOOL,SQ,7100000,0,73,0,76,76,71,72,161560
2026-05-26,TOOL,DR,6400000,0,74,0,76,76,71,72,161560
2026-05-26,TOOL,XL,0,110800000,0,73,76,76,71,72,161560
2026-05-26,TOOL,SA,0,63100000,0,74,76,76,71,72,161560
2026-05-26,TOOL,MG,0,56300000,0,74,76,76,71,72,161560
2026-05-26,TOOL,YP,0,27300000,0,72,76,76,71,72,161560
2026-05-26,TOOL,OD,0,16200000,0,73,76,76,71,72,161560
2026-05-26,TOOL,YB,0,12200000,0,75,76,76,71,72,161560
2026-05-26,TOOL,PD,0,6200000,0,72,76,76,71,72,161560
2026-05-26,TOOL,CC,0,4400000,0,73,76,76,71,72,161560
2026-05-26,TOOL,PC,0,1900000,0,73,76,76,71,72,161560
2026-05-26,TOOL,HP,0,1200000,0,72,76,76,71,72,161560
