Date,Stock,Broker,Buy Value,Sell Value,Buy Avg,Sell Avg,Open,High,Low,Close,Volume
2026-05-26,PNLF,YP,1300000000,0,240,0,240,242,236,240,347750
2026-05-26,PNLF,CP,393900000,0,238,0,240,242,236,240,347750
2026-05-26,PNLF,ZP,284000000,0,238,0,240,242,236,240,347750
2026-05-26,PNLF,AI,238000000,0,238,0,240,242,236,240,347750
2026-05-26,PNLF,IF,216000000,0,240,0,240,242,236,240,347750
2026-05-26,PNLF,XL,199100000,0,238,0,240,242,236,240,347750
2026-05-26,PNLF,LG,190000000,0,238,0,240,242,236,240,347750
2026-05-26,PNLF,OD,137700000,0,238,0,240,242,236,240,347750
2026-05-26,PNLF,SQ,126400000,0,240,0,240,242,236,240,347750
2026-05-26,PNLF,PD,98200000,0,238,0,240,242,236,240,347750
2026-05-26,PNLF,CC,0,1200000000,0,239,240,242,236,240,347750
2026-05-26,PNLF,GR,0,583700000,0,238,240,242,236,240,347750
2026-05-26,PNLF,KK,0,551400000,0,239,240,242,236,240,347750
2026-05-26,PNLF,DH,0,237900000,0,240,240,242,236,240,347750
2026-05-26,PNLF,YU,0,215500000,0,238,240,242,236,240,347750
2026-05-26,PNLF,AO,0,119000000,0,238,240,242,236,240,347750
2026-05-26,PNLF,YJ,0,119000000,0,238,240,242,236,240,347750
2026-05-26,PNLF,AZ,0,100000000,0,240,240,242,236,240,347750
2026-05-26,PNLF,XC,0,76500000,0,239,240,242,236,240,347750
2026-05-26,PNLF,SH,0,70800000,0,236,240,242,236,240,347750
