Date,Stock,Broker,Buy Value,Sell Value,Buy Avg,Sell Avg,Open,High,Low,Close,Volume
2026-05-25,GULA,SH,2500000000,0,442,0,424,458,424,458,787720
2026-05-25,GULA,XL,1800000000,0,446,0,424,458,424,458,787720
2026-05-25,GULA,AK,1100000000,0,443,0,424,458,424,458,787720
2026-05-25,GULA,TP,839500000,0,442,0,424,458,424,458,787720
2026-05-25,GULA,DU,456500000,0,439,0,424,458,424,458,787720
2026-05-25,GULA,ZP,343100000,0,444,0,424,458,424,458,787720
2026-05-25,GULA,IC,304800000,0,442,0,424,458,424,458,787720
2026-05-25,GULA,PD,247300000,0,440,0,424,458,424,458,787720
2026-05-25,GULA,DR,196900000,0,452,0,424,458,424,458,787720
2026-05-25,GULA,DH,170000000,0,447,0,424,458,424,458,787720
2026-05-25,GULA,PC,0,2800000000,0,443,424,458,424,458,787720
2026-05-25,GULA,CC,0,1300000000,0,447,424,458,424,458,787720
2026-05-25,GULA,CP,0,1300000000,0,435,424,458,424,458,787720
2026-05-25,GULA,MG,0,762400000,0,437,424,458,424,458,787720
2026-05-25,GULA,BR,0,568200000,0,442,424,458,424,458,787720
2026-05-25,GULA,AO,0,542500000,0,445,424,458,424,458,787720
2026-05-25,GULA,IH,0,385600000,0,448,424,458,424,458,787720
2026-05-25,GULA,AI,0,258000000,0,440,424,458,424,458,787720
2026-05-25,GULA,IU,0,226100000,0,433,424,458,424,458,787720
2026-05-25,GULA,PO,0,220200000,0,440,424,458,424,458,787720
