Date,Stock,Broker,Buy Value,Sell Value,Buy Avg,Sell Avg,Open,High,Low,Close,Volume
2026-05-25,GPSO,CC,505300000,0,487,0,480,498,480,490,292940
2026-05-25,GPSO,XL,460100000,0,494,0,480,498,480,490,292940
2026-05-25,GPSO,YP,272000000,0,491,0,480,498,480,490,292940
2026-05-25,GPSO,AO,109300000,0,491,0,480,498,480,490,292940
2026-05-25,GPSO,XC,78700000,0,492,0,480,498,480,490,292940
2026-05-25,GPSO,KK,75300000,0,490,0,480,498,480,490,292940
2026-05-25,GPSO,XA,28100000,0,492,0,480,498,480,490,292940
2026-05-25,GPSO,NI,16700000,0,491,0,480,498,480,490,292940
2026-05-25,GPSO,PD,11700000,0,487,0,480,498,480,490,292940
2026-05-25,GPSO,SQ,10100000,0,496,0,480,498,480,490,292940
2026-05-25,GPSO,CP,0,316900000,0,490,480,498,480,490,292940
2026-05-25,GPSO,MG,0,283000000,0,493,480,498,480,490,292940
2026-05-25,GPSO,YU,0,184500000,0,493,480,498,480,490,292940
2026-05-25,GPSO,TP,0,179700000,0,492,480,498,480,490,292940
2026-05-25,GPSO,ZP,0,141100000,0,488,480,498,480,490,292940
2026-05-25,GPSO,GR,0,139100000,0,494,480,498,480,490,292940
2026-05-25,GPSO,DR,0,78300000,0,494,480,498,480,490,292940
2026-05-25,GPSO,PC,0,56800000,0,489,480,498,480,490,292940
2026-05-25,GPSO,IU,0,55100000,0,491,480,498,480,490,292940
2026-05-25,GPSO,OD,0,34100000,0,486,480,498,480,490,292940
