Date,Stock,Broker,Buy Value,Sell Value,Buy Avg,Sell Avg,Open,High,Low,Close,Volume
2026-05-26,SMIL,LG,67000000,0,268,0,272,278,266,270,80700
2026-05-26,SMIL,YP,55200000,0,268,0,272,278,266,270,80700
2026-05-26,SMIL,OD,33100000,0,271,0,272,278,266,270,80700
2026-05-26,SMIL,MG,26800000,0,268,0,272,278,266,270,80700
2026-05-26,SMIL,YB,24600000,0,269,0,272,278,266,270,80700
2026-05-26,SMIL,NI,23700000,0,268,0,272,278,266,270,80700
2026-05-26,SMIL,DR,18400000,0,268,0,272,278,266,270,80700
2026-05-26,SMIL,SQ,11000000,0,270,0,272,278,266,270,80700
2026-05-26,SMIL,TP,7700000,0,267,0,272,278,266,270,80700
2026-05-26,SMIL,BQ,2700000,0,274,0,272,278,266,270,80700
2026-05-26,SMIL,CC,0,159000000,0,269,272,278,266,270,80700
2026-05-26,SMIL,XL,0,44700000,0,270,272,278,266,270,80700
2026-05-26,SMIL,PD,0,14200000,0,269,272,278,266,270,80700
2026-05-26,SMIL,CP,0,13500000,0,270,272,278,266,270,80700
2026-05-26,SMIL,AK,0,12000000,0,272,272,278,266,270,80700
2026-05-26,SMIL,KK,0,11200000,0,268,272,278,266,270,80700
2026-05-26,SMIL,EP,0,9200000,0,267,272,278,266,270,80700
2026-05-26,SMIL,DH,0,6500000,0,270,272,278,266,270,80700
2026-05-26,SMIL,PG,0,2700000,0,270,272,278,266,270,80700
2026-05-26,SMIL,YU,0,1300000,0,268,272,278,266,270,80700
